NIVGEO;CODGEO;LIBGEO;P10_POP;P10_0014_POP;P99_0014_POP;P10_1529_POP;P99_1529_POP;P10_3044_POP;P99_3044_POP;P10_4559_POP;P99_4559_POP;P10_6074_POP;P99_6074_POP;P10_75P_POP;P99_75P_POP
DEP;01;Ain;597341;20.6;20.9;17.0;19.1;21.5;23.1;20.4;18.7;13.0;12.0;7.6;6.2
DEP;02;Aisne;540508;19.6;20.6;17.6;19.5;19.2;21.8;20.9;17.8;13.8;13.7;8.9;6.6
DEP;03;Allier;342908;15.7;15.6;14.5;17.0;17.8;20.1;21.4;19.2;17.5;17.7;13.1;10.4
DEP;04;Alpes-de-Haute-Provence;160149;16.9;18.2;14.6;15.6;18.2;21.8;21.5;19.0;17.8;16.6;11.1;8.9
DEP;05;Hautes-Alpes;136971;17.3;18.7;14.9;16.9;19.1;22.7;21.8;18.5;16.4;14.8;10.5;8.4
DEP;06;Alpes-Maritimes;1078729;16.0;16.4;16.6;17.3;19.4;20.7;19.8;18.9;16.4;16.1;11.9;10.6
DEP;07;Ardeche;315090;17.7;17.9;14.6;16.9;18.9;21.2;21.0;19.1;16.7;15.9;11.1;9.0
DEP;08;Ardennes;283250;19.0;20.4;17.0;19.5;19.5;21.8;21.3;17.7;14.2;14.1;8.9;6.5
DEP;09;Ariege;152038;16.4;16.1;14.1;15.6;18.4;20.8;21.6;18.6;16.8;17.9;12.5;11.0
DEP;10;Aube;303327;18.3;19.0;17.6;19.4;19.0;21.5;20.5;18.6;14.9;13.9;9.6;7.6
DEP;11;Aude;356467;17.1;16.8;15.0;16.7;18.5;20.3;20.5;18.6;17.2;17.4;11.8;10.3
DEP;12;Aveyron;276805;15.8;15.5;14.0;16.2;18.0;20.3;20.9;18.6;17.6;18.4;13.7;11.0
DEP;13;Bouches-du-Rhene;1972018;17.8;18.5;19.0;20.3;19.8;21.6;19.8;19.0;14.4;13.4;9.1;7.2
DEP;14;Calvados;683105;18.3;19.4;19.0;22.0;19.0;21.3;20.4;17.7;14.2;13.0;9.1;6.6
DEP;15;Cantal;148162;14.6;14.9;13.7;16.9;18.1;21.1;22.4;18.9;17.7;18.0;13.5;10.2
DEP;16;Charente;351577;16.3;17.0;15.3;17.5;18.4;21.4;21.8;18.8;16.4;16.1;11.8;9.3
DEP;17;Charente-Maritime;622323;16.1;16.7;15.3;17.4;18.0;20.3;20.7;18.8;17.9;17.2;12.0;9.6
DEP;18;Cher;311257;16.5;17.3;15.4;17.3;18.1;21.2;21.5;19.1;17.1;16.1;11.4;9.0
DEP;19;Correze;243551;14.9;14.7;14.6;16.3;17.9;20.5;21.3;18.9;17.6;18.4;13.7;11.3
DEP;21;Cete-d'Or;524358;17.0;18.3;20.0;22.2;19.2;21.4;20.3;18.2;14.1;12.8;9.2;7.1
DEP;22;Cetes-d'Armor;591641;17.7;17.5;14.8;17.4;18.1;20.0;20.5;18.4;17.1;17.6;11.7;9.2
DEP;23;Creuse;123029;14.0;14.0;12.9;14.9;16.6;19.4;22.2;18.3;18.7;20.4;15.5;13.0
DEP;24;Dordogne;414149;15.2;15.4;13.6;15.6;17.4;20.2;21.7;19.1;18.7;18.7;13.3;10.9
DEP;25;Doubs;527770;18.6;19.4;20.0;22.1;19.8;21.6;19.4;18.2;13.8;12.7;8.3;6.0
DEP;26;Dreme;484715;18.9;19.7;16.5;18.3;19.3;21.6;20.4;18.8;15.4;14.2;9.4;7.5
DEP;27;Eure;586543;20.4;21.1;17.1;19.4;20.5;22.7;20.8;18.4;13.5;12.3;7.7;6.0
DEP;28;Eure-et-Loir;428933;19.8;20.5;16.8;19.1;20.1;22.0;20.6;18.4;13.8;12.9;8.9;7.0
DEP;29;Finistere;897628;17.7;18.0;16.7;19.4;19.1;21.2;20.7;17.7;15.4;15.5;10.5;8.3
DEP;2A;Corse-du-Sud;143600;15.4;17.7;16.1;16.4;20.1;22.4;21.6;19.3;16.6;15.8;10.2;8.3
DEP;2B;Haute-Corse;166093;15.2;16.5;17.3;18.5;20.2;22.0;20.7;19.1;16.7;15.6;9.9;8.4
DEP;30;Gard;709700;18.1;18.5;16.5;18.0;19.2;21.5;20.8;19.0;15.7;15.0;9.7;8.0
DEP;31;Haute-Garonne;1243641;17.5;17.6;22.0;23.0;21.3;23.0;19.3;17.9;12.2;12.0;7.7;6.6
DEP;32;Gers;188159;15.7;15.4;13.3;15.0;17.7;20.6;22.1;19.3;17.9;18.8;13.4;11.0
DEP;33;Gironde;1449245;17.3;17.5;19.5;21.4;20.4;21.8;20.1;18.6;13.7;13.2;8.9;7.5
DEP;34;Herault;1044558;17.0;17.6;19.5;21.3;19.3;20.7;19.3;18.2;15.3;14.3;9.6;8.0
DEP;35;Ille-et-Vilaine;988140;19.3;19.2;20.4;23.0;20.5;21.5;19.1;17.1;12.5;12.8;8.2;6.4
DEP;36;Indre;231176;15.9;15.8;13.9;16.7;18.1;20.4;21.4;18.7;17.7;17.8;13.0;10.5
DEP;37;Indre-et-Loire;590515;17.6;18.0;18.9;21.1;19.1;21.2;20.1;18.1;14.4;13.7;9.8;7.9
DEP;38;Isere;1206374;19.6;20.0;19.3;21.5;20.7;22.3;19.6;18.4;13.2;12.1;7.7;5.8
DEP;39;Jura;261534;18.4;19.0;15.8;18.2;19.3;21.3;20.6;18.4;15.5;14.9;10.5;8.2
DEP;40;Landes;384320;17.0;16.7;14.3;16.3;19.5;21.5;21.2;19.0;17.0;17.3;11.0;9.3
DEP;41;Loir-et-Cher;330079;17.8;17.8;15.0;17.6;18.8;21.0;20.6;18.1;16.1;16.1;11.7;9.3
DEP;42;Loire;748947;18.2;18.5;17.7;19.8;18.7;20.3;19.7;18.8;15.2;14.7;10.5;7.9
DEP;43;Haute-Loire;224006;17.9;17.6;14.8;17.5;19.2;21.2;20.9;18.4;16.1;16.4;11.0;8.9
DEP;44;Loire-Atlantique;1282052;19.4;19.5;19.0;21.6;20.5;21.6;19.7;18.1;13.2;12.7;8.2;6.4
DEP;45;Loiret;656105;19.1;19.5;18.2;20.3;19.8;21.7;19.9;18.3;14.0;13.1;9.0;7.1
DEP;46;Lot;174578;15.2;15.5;13.1;15.3;17.3;20.2;21.9;18.9;19.0;19.2;13.6;11.0
DEP;47;Lot-et-Garonne;331123;16.5;16.7;15.0;16.7;17.9;20.2;20.9;19.1;17.3;17.3;12.4;10.0
DEP;48;Lozere;77082;15.9;16.2;14.9;17.9;18.7;20.8;21.9;18.7;16.7;16.4;11.9;10.1
DEP;49;Maine-et-Loire;784810;19.7;19.8;19.1;22.2;19.4;20.9;19.5;17.1;13.2;12.9;9.0;7.1
DEP;50;Manche;498747;17.6;19.3;15.8;18.1;18.3;21.4;21.1;17.2;15.9;16.0;11.3;8.0
DEP;51;Marne;565307;18.1;19.1;20.3;22.8;19.6;21.8;20.3;18.0;13.4;12.0;8.3;6.2
DEP;52;Haute-Marne;184039;17.0;19.0;16.2;18.5;18.1;21.2;21.7;18.3;16.0;15.1;10.9;7.9
DEP;53;Mayenne;306337;20.0;19.7;16.4;19.6;19.3;21.1;19.9;17.1;14.1;14.6;10.4;7.9
DEP;54;Meurthe-et-Moselle;732207;17.4;18.7;21.1;22.5;19.3;21.4;20.1;17.8;13.4;13.4;8.7;6.2
DEP;55;Meuse;193923;18.1;19.5;17.1;18.8;19.0;21.5;21.4;17.7;14.5;15.1;9.9;7.5
DEP;56;Morbihan;721657;17.9;18.4;15.6;18.8;19.0;21.2;20.8;17.8;16.3;16.0;10.3;7.8
DEP;57;Moselle;1045066;17.3;19.3;18.7;20.3;20.2;23.4;21.8;17.9;13.8;13.7;8.1;5.4
DEP;58;Nievre;219584;15.3;16.2;14.4;16.4;16.8;20.1;21.8;18.9;18.5;18.1;13.3;10.3
DEP;59;Nord;2576770;20.1;21.5;21.1;23.0;19.9;21.4;19.4;16.8;12.1;11.9;7.4;5.4
DEP;60;Oise;803595;20.5;21.9;18.7;20.5;21.0;23.2;20.6;18.5;12.4;10.8;6.7;5.1
DEP;61;Orne;291642;17.8;18.7;15.7;18.4;17.8;20.7;21.0;17.9;16.2;16.0;11.5;8.2
DEP;62;Pas-de-Calais;1461387;20.1;21.2;18.7;21.1;19.6;21.5;20.4;17.0;13.0;13.1;8.1;6.1
DEP;63;Puy-de-Deme;632311;16.2;16.4;18.7;20.9;19.4;21.4;20.9;19.6;15.2;14.4;9.7;7.4
DEP;64;Pyrenees-Atlantiques;653515;16.2;16.8;16.2;18.3;19.4;21.5;21.0;18.5;15.9;16.0;11.3;9.0
DEP;65;Hautes-Pyrenees;229458;15.2;15.6;15.1;16.7;17.8;21.0;21.8;19.5;17.3;17.4;12.7;9.8
DEP;66;Pyrenees-Orientales;448543;16.9;16.7;15.6;17.4;18.5;19.7;19.8;18.0;17.4;17.9;11.9;10.2
DEP;67;Bas-Rhin;1095905;17.7;19.1;19.9;21.7;20.7;23.6;21.0;17.7;13.1;12.3;7.7;5.7
DEP;68;Haut-Rhin;749782;18.3;19.7;17.7;19.5;20.7;23.5;21.4;18.4;13.6;13.1;8.3;5.7
DEP;69;Rhene;1725177;18.9;19.5;22.1;22.7;20.5;21.6;18.1;18.0;12.5;12.1;7.9;6.1
DEP;70;Haute-Saene;239548;18.6;19.0;15.6;18.8;19.5;21.3;21.1;18.7;15.5;14.5;9.6;7.6
DEP;71;Saene-et-Loire;555663;16.9;17.4;15.1;17.5;18.3;20.7;21.2;19.1;16.7;16.3;11.7;9.0
DEP;72;Sarthe;563518;18.9;19.1;17.2;19.7;19.2;21.3;20.3;17.6;14.3;14.4;10.0;7.9
DEP;73;Savoie;414959;18.4;18.9;17.3;19.7;20.7;22.6;20.6;18.6;14.3;13.4;8.7;6.8
DEP;74;Haute-Savoie;738088;19.5;20.6;17.7;19.2;22.5;24.2;20.4;19.1;13.0;11.4;7.0;5.5
DEP;75;Paris;2243833;14.3;14.2;23.7;24.4;23.6;23.6;18.4;18.9;12.5;11.5;7.4;7.4
DEP;76;Seine-Maritime;1250411;18.6;20.1;19.6;21.3;19.1;21.7;20.3;17.8;13.6;12.6;8.7;6.4
DEP;77;Seine-et-Marne;1324865;21.4;22.5;19.9;21.1;21.8;23.8;20.3;18.7;11.0;9.4;5.7;4.6
DEP;78;Yvelines;1408765;20.7;21.6;18.8;20.7;21.3;22.9;20.2;19.8;12.3;10.4;6.6;4.6
DEP;79;Deux-Sevres;369270;17.9;17.8;15.6;18.0;19.1;21.4;21.0;18.2;15.2;15.8;11.1;8.8
DEP;80;Somme;570741;18.5;19.3;19.5;22.0;19.7;21.3;19.9;17.5;13.8;13.2;8.7;6.7
DEP;81;Tarn;375379;16.8;16.5;15.0;16.9;18.6;20.5;20.8;18.7;16.3;17.4;12.4;10.0
DEP;82;Tarn-et-Garonne;241698;18.5;17.7;15.3;16.9;19.8;21.3;20.6;18.6;15.1;16.2;10.7;9.4
DEP;83;Var;1008183;16.3;17.8;15.7;16.8;18.3;20.8;20.1;18.9;18.1;16.7;11.4;9.0
DEP;84;Vaucluse;543105;18.3;19.6;17.1;18.6;19.1;21.5;20.4;18.8;15.6;14.1;9.4;7.4
DEP;85;Vendee;634778;18.4;18.2;15.6;18.7;19.2;21.1;20.2;17.7;16.3;16.1;10.3;8.1
DEP;86;Vienne;427193;17.1;16.8;19.5;22.3;18.5;20.7;20.2;17.5;14.5;14.3;10.2;8.4
DEP;87;Haute-Vienne;376191;15.7;14.9;17.2;19.7;18.6;20.3;20.6;19.1;16.0;16.3;11.9;9.8
DEP;88;Vosges;379724;17.8;19.2;16.4;18.8;18.8;21.4;21.5;18.3;15.5;14.8;10.1;7.6
DEP;89;Yonne;342510;17.9;18.7;15.4;17.7;18.6;20.7;21.0;18.3;16.0;15.6;11.1;9.0
DEP;90;Territoire de Belfort;142911;18.5;19.4;19.7;21.0;19.9;22.3;20.2;18.3;13.3;12.8;8.3;6.2
DEP;91;Essonne;1215340;20.8;21.4;19.8;21.0;21.4;23.6;19.9;19.2;11.9;10.3;6.2;4.4
DEP;92;Hauts-de-Seine;1572490;19.5;18.9;19.9;21.3;23.6;24.1;18.6;18.2;11.2;11.4;7.3;6.2
