id;Date_creation;adresse_siege;site_web;telephone;email
0;01/01/2015;13100  Aix-en-Provence;http://wease-app.com/ ;-;bonjour@wease-app.com 
1;01/01/2011;14 Rue Charles Fourier 91000  evry;http://ubeeko.com/;+33 1 60 71 35 98;contact@ubeeko.com
2;01/05/2014;5 rue de la claire 69009 Lyon;http://freemo.blue/;;contact@freemo.blue
3;01/01/2013;Cap Omega, Rond-point Benjamin Franklin 34960 Montpellier;https://www.affilyone.fr/;04 11 93 41 60;contact@affilyone.com
4;01/01/2013;212 RUE SAINT MAUR 75010  Paris;-;-;-
5;01/01/2012;Universite Polytechnique de Valencia - Bureau 9B 46022 Valencia;https://fr.yeeply.com/;09 75 18 87 75;support_fr@yeeply.com
6;01/09/2014;44 rue Cauchy 94110 Arcueil;http://www.beekast.com/;09 83 22 25 59 / 06 64 37 46 20;contact@beekast.com
7;01/01/2014;1847 Centinela Avenue 90404 Santa Monica;https://www.whipclip.com/;;privacy@whipclip.com
8;01/09/2014;19 bis, rue du Bazinghien 59000 Lille;http://www.mobileangelo.fr/;03 10 38 41 19;contact@mobileangelo.fr
9;01/10/2013;550 Bryant Street 94107 San Francisco;http://www.handpick.com/;;copyright@handpick.com
10;01/04/2015;44 Rue Paul Valery 75116  Paris;http://footch.fr/ ;06 85 90 09 53;adrien@omnesgenius.fr
11;01/03/2008;Music Story Parc de la Cimaise 14 Rue du Carrousel 59650  Villeneuve-d'Ascq;http://www.music-story.com/;+33 (0)9 75 39 15 73;musicstorypro@music-story.com
12;01/01/2014;1, Place Albert Einstein 56000  Vannes;http://www.shopus.fr/;;contact@shopus.fr
13;01/02/2015;128 rue La Boetie 75008  Paris ;http://www.zipla.fr/;;info@zipla.fr
14;01/01/2013;-- -;http://www.zeecrowd.com/ ;;contact@zeecrowd.com 
15;01/01/2015;1 RUE D’ENGHIEN 75010  PARIS;http://www.iwheelshare.com/;;contact@iwheelshare.com
16;01/01/2014;2 rue des Freres Berat 76120 Le Grand-Quevilly;http://www.calendeasy.fr/;06 51 06 02 70;contact@calendeasy.fr
17;01/01/2014;38 Rue Jim Sevellec 29200 Brest;http://www.eqwall.com/;06 65 35 89 69;contact@eqwall.com
18;01/01/2013;PO Box 950192 Atlanta, GA 30377NC Atlanta;http://partpic.com/;;jewel@partpic.com
19;01/03/2014;Johannisstraße 2010117 Berlin;http://www.helpling.de/;01 70 61 57 79;contact@helpling.fr
20;01/12/2014;9 rue Lagrange 75005 Paris;https://www.flashgap.com/;;support@flashgap.com
21;01/01/2014;159 chemin de la madone 69280 Marcy l’Etoile;http://www.aidodys.com/;07 83 49 44 87;contact@aidodys.com
22;01/02/2015;16 rue du Docteur Germain See 75016  Paris;http://www.karry-me.com/;;contact@karry-me.com
23;01/07/2013;9 Impasse des Gymnastes 13012  Marseille ;http://www.totem-mobi.fr/;04 91 49 22 75     ;contact@totem.mobi
24;01/09/2011;-- -;https://www.snapchat.com/;;
25;01/01/2011;.. Ness Ziona;http://moovitapp.com/;;support@moovitapp.com
26;01/05/2011;110 rue des Poissonniers 75013 Paris;http://www.mobicheckin.com/;;
27;01/05/2010;5 rue de Tracy 75002 Paris;http://www.sentinelo.com/;01 82 28 50 70;contact@sentinelo.com
28;01/04/2014;9 rue Dareau 75014 Paris;http://padambus.com/;01 45 81 74 32;contact@padambus.com
29;01/10/2012;45 rue de l'Est 92100 Boulogne-Billancourt;http://www.meetineo.com/ ;01 84 19 41 89;hello@meetineo.com 
30;01/07/2009;33 rue Galilee 75016 Paris;http://www.mobile2you.fr/;01 44 43 5524 ;
31;10/01/2013;60 rue de Wattignies 75012  Paris;https://www.swapcard.com/;;info@swapcard.com
32;17/10/2013;1 allee Jean Rostand 33650 Martillac;http://www.pxcom.aero/;05 56 89 17 63;contact@pxcom.aero
33;28/01/2014;19 Q Rue Fernand Pelloutier 92100 Boulogne Billancourt;http://www.addictivepages.fr/;;contact@addictivepages.fr
34;01/02/2014;28 rue des Franciscains  68100 Mulhouse;http://www.1mile.com;09 53 13 53 58;adelya@1mile.com
35;01/01/2014;39 rue du Caire PARIS - France 75002 Paris;https://getcleanio.com/;01 76 36 09 29;hello@getcleanio.com
