;Classe;Date de création ;Adresse du siège ;Site Web ;Téléphone ;Email 
0;industrie;01/01/2013;-- -;http://www.gafra.fr/ ;-;-
1;industrie;01/01/2010;14 Rue du Général Quinivet 56300  Pontivy ;http://isofilter.fr/ ;02 97 25 84 67;contact@isofilter.fr
2;industrie;01/01/2011;Blankenburger Straße 2313089 Berlin;http://www.vendezvotrevoiture.fr/;08 00 73 00 52;info@vendezvotrevoiture.fr
3;industrie;01/10/2014;43 rue de Montreuil 75011  Paris;http://www.clueme.fr/;09 67 48 28 47;contact@clueme.fr
4;industrie;01/01/2013;2615 W. Interstate 20 75052 Grand Prairie ;https://www.vroom.com/;+1 855-524-1300;
5;industrie;01/01/2014;8 place Carnot 69002 Lyon;http://www.mylinkoo.eu/;0972 49 07 70;contact@mylinkoo.eu
6;industrie;01/01/2014;147 Avenue de Malakoff75116 Paris;http://vitaminmobile.eu/;;
7;industrie;01/10/2012;28, rue des Laurets64000 Pau;http://www.xamen.fr/;09 80 79 59 95;contact@xamen.fr
8;industrie;01/09/2014;Centre entrepreneurial de l'Institut d'Optique - Bâtiment 503, rue du Belvédère- Campus Scientifique d'Orsay91400 Orsay;http://www.phonoptics.fr/;01 69 35 87 96;
9;industrie;01/01/2014;7 parvis Louis Néel38040 Grenoble;http://www.exagan.com/;04 38 78 33 07;contact@exagan.com
10;industrie;01/02/2015;101 chemin de sieyres 30730  Saint Mamert du Gard;http://www.moncoachbrico.com/ ;09.70.80.53.81;contact@moncoachbrico.fr 
11;industrie;01/01/2013;Z.A.C. Les Ancises 03300  CREUZIER LE NEUF;http://www.skware.fr/# ;04 70 32 70 28;contact@skware.fr 
12;industrie;01/01/2012;ZA Actipole – ZA de la Chesnais 35540  Miniac-Morvan;http://www.aquashell.fr/ ;02 99 58 07 37 ;contact@aquashell.fr 
13;industrie;01/01/2014;17, Rue claude Bloch 14000  Caen;http://edifycad.com/;;contact@edifycad.com
14;industrie;01/05/2015;2 Place de la Défense 92053 Paris la Défense;http://www.dropdontpark.com/;;hello@dropdontpark.com
15;industrie;01/01/2010; 91, rue Réaumur 75002  Paris;http://see-concept.com/fr/ ;01 49 96 55 25;contact@see-concept.com 
16;industrie;01/01/2015;1746 route de mende 34000 Montpellier ;http://madeinplan.com ;;toury.maxime@gmail.com 
17;industrie;01/12/2006;1 Rue Baour Lormian31000  Toulouse;http://openairlines.com/;info@openairlines.com;
18;industrie;24/09/2012;25 Boulevard Victor Hugo Bâtiment PLATON31770  Colomiers;http://syrthea.com/;+ 33 (0)5 34 55 21 87;antoine@syrthea.com
19;industrie;04/02/2004;22 Rue Oberkampf75011  Paris;http://www.env-isa.com/;+33 (0)1 71 19 45 80;info@env-isa.com
20;industrie;01/01/2012;1 allée d’Effiat 91160 Longjumeau;http://www.v-motech.com/;;contact@v-motech.com
21;industrie;01/06/2012;20 Rue J.F de la Pérouse33290 Blanquefort;http://retdrone.com/;05 33 89 18 10;
22;industrie;01/01/2009;10 rue Auguste Perret94800  VILLEJUIF;http://www.sculpteo.com ;-;-
23;industrie;01/01/2005;10 Rue des Letis51430  Bezannes;http://www.a2a-ascenseurs.fr/ ;03 26 89 50 70;
24;industrie;01/01/2008;208 rue Garibaldi 69003 Lyon;http://www.cityzensciences.fr/;04 11 91 60 80;contact@cityzensciences.fr
25;industrie;01/01/2006;Pôle Media de la Belle-de-Mai - 37 rue Guibal13003 Marseille;http://www.devisubox.com/;+33 9 72 33 05 79;info@devisubox.com
26;industrie;01/01/2013;20 rue du Jeu de Paume53000  Laval;http://www.neoshop-laval.fr/;02 43 53 81 56;
27;industrie;01/01/2015;35 rue du Caire 75002 Paris;http://www.ledger.co/;+33 9 67 30 01 71;hello@ledger.fr
28;industrie;01/01/2010; 17, avenue du Lac Léman 73374  Le Bourget du Lac ;http://avenisense.com/;04 57 08 02 25  ;
29;industrie;01/01/2012;26, rue Eugène Vermersch 59000  Lille;http://www.made-in-texio.fr;;sav@made-in-texio.fr
30;industrie;01/01/2008;17 rue Jean Rostand69740 Genas;http://www.mister-auto.com/;04 26 70 02 96;
31;industrie;20/01/2012;13, rue Saint Antoine75004  Paris;http://www.urbanhello.com/fr/;;privacy@urbanhello.com
32;industrie;01/01/2012;Le Four à Chaux71 340 Iguerande;http://www.rollkers.com/;07 82 21 01 93;info@rollkers.com
33;industrie;01/01/2014;131-A Stoney Circle Suite 500 Santa Rosa;http://www.voxtok.com/;;contact@voxtok.com
34;industrie;01/01/2014;47 rue Boulard  75014 Paris;http://www.pryntcases.com/;;contact@pryntcases.com
35;industrie;06/09/2007;10, Place Vendôme 75001 Paris;http://fr.devialet.com/;0144882727;privacy@devialet.com
36;industrie;01/06/2014;10 rue Despieds  13003 Marseille;http://www.3drudder.com/;;info@3drudder.com
37;industrie;01/06/2010;87 rue du Gouverneur General Eboue 92130 Issy les Moulineaux;http://www.invoxia.com;06 11 29 30 28;contact@invoxia.com
38;industrie;01/01/2013;103 rue de Grenelle75007  Paris;http://www.breezcar.com/;;contact@breezcar.com
39;industrie;01/01/2013;76 boulevard Saint-Michel  75006 Paris;http://www.sokamp.com/fr/;06 27 09 52 09;contact@sokamp.com
40;industrie;01/10/2013;rue Carnot 94270 Le Kremlin Bicêtre;http://www.canaillesdream.com;;contact@canaillesdream.com
41;industrie;12/12/2012;130 rue de Lourmel75015 Paris;http://www.redbird.fr/;01 84 16 52 01;contact@redbird.fr
42;industrie;01/06/2014;2 rue Villon  69003 Lyon;http://www.drawn.fr;04 82 53 54 89;galatea@drawn.fr
43;industrie;24/04/2013;880 avenue de Mimet 13120 Gardanne;http://www.nawatechnologies.com/;04 42 61 68 03;contact@nawatechnologies.com
44;industrie;01/01/2009;18 Avenue Général Charles de Gaule69370 Saint-Didier-au-Mont-d'Or;http://www.novanano.com;04 37 26 02 74;contact@novanano.com
45;industrie;01/01/1996;Node Park Touraine37310 Tauxigny;;;
46;industrie;01/01/1998;32 Rue Augustin Fresnel37170  Chambray les Tours;;;
47;industrie;01/12/2008;10 rue Jean Jaurès86000 Poitiers;http://www.wytek.fr/;+33 5 35 54 10 96;contact@wytek.fr
48;industrie;01/10/2013;6 Avenue Foch57730 Folschviller;http://openedge.cc/;;openedge@openedge.cc
